"","company_category_code","funded_year","raised_amount_usd"
"1","advertising",2012,2e+06
"2","news",2012,20000
"3","messaging",2012,20000
"4","software",2012,20000
"5","web",2011,20000
"6","web",2012,20000
"7","analytics",2012,20000
"8","analytics",2012,70000
"9","ecommerce",2010,75000
"10","sports",2011,1e+05
"11","real_estate",2012,2e+06
"12","finance",2010,1100000
"13","web",2012,6e+05
"14","automotive",2010,1.89e+08
"15","automotive",2011,1.5e+08
"16","travel",2010,NA
"17","nanotech",2009,NA
"18","hardware",2010,1.06e+08
"19","network_hosting",2010,1500000
"20","hardware",2010,NA
"21","cleantech",2011,1e+07
"22","biotech",2007,6e+07
"23","biotech",2007,6600000
"24","biotech",2013,7e+07
"25","biotech",2013,11500000
"26","biotech",2013,NA
"27","web",2006,NA
"28","cleantech",2007,1.01e+08
"29","mobile",2011,2e+07
"30","software",2013,2e+08
"31","education",2012,850000
"32","analytics",2012,30000
"33","enterprise",2013,1600000
"34","advertising",2009,3.1e+07
"35","software",2013,2e+07
"36","enterprise",2013,3.5e+07
"37","games_video",2001,3.4e+07
"38","mobile",2007,5e+06
"39","mobile",2013,1500000
"40","enterprise",2009,6250000
"41","biotech",2010,1.5e+07
"42","enterprise",2012,10000
"43","cleantech",2009,4e+07
"44","cleantech",2009,11500000
"45","cleantech",2011,3e+05
"46","software",2013,1250000
"47","social",2011,1700000
"48","software",2011,2500000
"49","software",2009,2e+06
"50","advertising",2010,2e+07
"51","analytics",2010,1500000
"52","web",2007,1300000
"53","web",2012,1500000
"54","software",2006,510000
"55","games_video",2008,3e+07
"56","analytics",2008,8e+06
"57","mobile",2007,8e+06
"58","analytics",2011,1e+07
"59","analytics",2013,1.5e+07
"60","advertising",2013,9e+06
"61","software",2011,30044995
"62","advertising",2011,1.3e+07
"63","enterprise",2012,1.4e+07
"64","advertising",2012,21500000
"65","web",2013,1650000
"66","enterprise",2013,2.5e+07
"67","web",2013,2e+07
"68","network_hosting",2012,4.5e+07
"69","network_hosting",2012,4.5e+07
"70","health",2013,8250000
"71","mobile",2013,3500000
"72","cleantech",2007,1e+08
"73","enterprise",2012,1750000
"74","web",2012,750000
"75","nanotech",2012,5e+06
"76","biotech",2013,2.1e+07
"77","analytics",2009,2e+06
"78","software",2009,5600000
"79","software",2006,14800000
"80","web",2013,2500000
"81","fashion",2011,250000
"82","software",2004,7e+06
"83","ecommerce",2013,7.5e+07
"84","hardware",2010,NA
"85","biotech",2013,3.8e+07
"86","biotech",2009,1400000
"87","medical",2008,7500000
"88","web",2010,2500000
"89","fashion",2011,375000
"90","pets",2013,NA
"91","cleantech",2011,2.8e+07
"92","design",2010,1250000
"93","advertising",2011,1640000
"94","education",2013,2e+06
"95","software",2008,5.5e+07
"96","enterprise",2010,2120000
"97","advertising",2009,1.5e+07
"98","education",2012,3e+05
"99","advertising",2008,50000
"100","web",2005,NA
"101","web",2006,1e+07
"102","web",2007,NA
"103","web",2007,1e+06
"104","web",2007,NA
"105","software",2008,1.5e+07
"106","software",2008,1.2e+07
"107","advertising",2009,8500000
"108","ecommerce",2008,NA
"109","search",2009,350000
"110","hospitality",2009,550000
"111","music",2009,4400000
"112","software",2009,1.9e+07
"113","enterprise",2010,1e+07
"114","ecommerce",2010,1.83e+08
"115","enterprise",2010,9e+06
"116","ecommerce",2011,4e+08
"117","music",2011,2.5e+07
"118","analytics",2011,NA
"119","music",2011,2e+06
"120","ecommerce",2011,1.76e+08
"121","software",2012,1400000
"122","music",2013,4700000
"123","software",2013,2250000
"124","games_video",2012,6e+06
"125","messaging",2011,NA
"126","advertising",2009,NA
"127","web",2000,1e+07
"128","ecommerce",2006,32500000
"129","ecommerce",2008,1e+08
"130","mobile",2011,1.9e+07
"131","ecommerce",2011,1.33e+08
"132","advertising",2011,1.2e+07
"133","search",2012,1.5e+07
"134","ecommerce",2013,41500000
"135","analytics",2013,12400000
"136","ecommerce",2013,4400000
"137","advertising",2013,9100000
"138","web",2013,1.5e+07
"139","web",2013,5.3e+07
"140","finance",2013,16500000
"141","mobile",2013,NA
"142","enterprise",2010,6e+06
"143","medical",2011,21600000
"144","software",2012,55000
"145","news",2004,3e+06
"146","news",2009,5300000
"147","education",2013,6e+06
"148","health",2011,NA
"149","biotech",2009,4e+06
"150","biotech",2008,18500000
"151","biotech",2009,3e+07
"152","biotech",2009,3.2e+07
"153","biotech",2009,7500000
"154","biotech",2007,3e+07
"155","biotech",2007,2.1e+07
"156","biotech",2007,15800000
"157","biotech",2006,5.5e+07
"158","advertising",2006,43800000
"159","biotech",2006,2.1e+07
"160","biotech",2010,4e+07
"161","advertising",2005,28500000
"162","biotech",2005,26600000
"163","biotech",2010,1500000
"164","biotech",2010,3.2e+07
"165","biotech",2005,3500000
"166","biotech",2010,3200000
"167","biotech",2010,36500000
"168","biotech",2011,4400000
"169","biotech",2011,2100000
"170","biotech",2011,3e+07
"171","biotech",2012,2e+07
"172","biotech",2012,16500000
"173","biotech",2013,8e+06
"174","web",2011,45000
"175","ecommerce",2012,NA
"176","mobile",2012,NA
"177","web",2012,5e+05
"178","ecommerce",2013,NA
"179","enterprise",2013,50000
"180","biotech",2007,1e+07
"181","software",2012,4e+05
"182","fashion",2010,1500000
"183","security",2013,2e+05
"184","software",2013,1100000
"185","web",2010,NA
"186","web",2010,NA
"187","sports",2010,NA
"188","web",2010,NA
"189","mobile",2010,NA
"190","mobile",2011,750000
"191","software",2011,380000
"192","ecommerce",2011,120000
"193","nonprofit",2013,325000
"194","software",2013,NA
"195","music",2013,NA
"196","other",2013,NA
"197","social",2013,NA
"198","transportation",2013,NA
"199","mobile",2013,NA
"200","software",2013,NA
"201","enterprise",2013,NA
"202","enterprise",2013,NA
"203","mobile",2013,NA
"204","mobile",2013,NA
"205","enterprise",2013,NA
"206","games_video",2011,NA
"207","enterprise",2013,3400000
"208","real_estate",2013,1600000
"209","social",2010,53000
"210","analytics",2011,1600000
"211","ecommerce",1999,33200000
"212","search",2004,7e+06
"213","search",2004,8500000
"214","web",1996,1600000
"215","web",2003,2e+06
"216","enterprise",2009,2e+05
"217","enterprise",2011,NA
"218","enterprise",2012,NA
"219","software",2012,2300000
"220","cleantech",2008,2.2e+08
"221","software",2011,110000
"222","software",2012,50000
"223","analytics",2012,50000
"224","advertising",2013,50000
"225","analytics",2013,1e+05
"226","biotech",2012,50000
"227","software",2013,50000
"228","advertising",2013,2e+06
"229","search",2011,4e+05
"230","web",2011,NA
"231","hardware",2011,745000
"232","mobile",2011,50000
"233","mobile",2012,1e+05
"234","social",2013,240000
"235","mobile",2013,1e+05
"236","mobile",2008,7e+05
"237","mobile",2008,7e+05
"238","mobile",2010,8e+05
"239","music",2012,16500
"240","web",2010,10000
"241","web",2009,2000
"242","software",2006,2e+06
"243","semiconductor",2013,1e+07
"244","games_video",2013,5e+06
"245","biotech",2011,1e+06
"246","enterprise",2013,649400
"247","advertising",2013,60000
"248","other",2012,25000
"249","biotech",2010,2.2e+07
"250","semiconductor",2010,4e+06
"251","cleantech",2011,1.7e+07
"252","software",2012,10750000
"253","sports",2011,150000
"254","biotech",2013,2.5e+07
"255","web",2010,368794
"256","software",2006,10500000
"257","software",2007,1e+07
"258","games_video",2006,15500000
"259","games_video",2006,4e+06
"260","games_video",2007,1.2e+07
"261","web",2007,1e+07
"262","games_video",2008,4e+06
"263","games_video",2008,1550000
"264","web",2008,2.4e+07
"265","mobile",2009,NA
"266","software",2007,2e+06
"267","nonprofit",2013,4e+05
"268","games_video",2013,NA
"269","software",2006,2300000
"270","mobile",2010,1.5e+08
"271","enterprise",2011,5500000
"272","mobile",2012,NA
"273","finance",2013,1e+06
"274","advertising",2013,2500000
"275","games_video",2009,NA
"276","software",2010,6e+06
"277","consulting",2011,10500000
"278","hardware",2013,3500000
"279","web",2013,NA
"280","advertising",2010,1e+06
"281","network_hosting",2011,1200000
"282","network_hosting",2012,NA
"283","web",2013,850000
"284","cleantech",2011,1.3e+08
"285","mobile",2007,9e+06
"286","software",2013,4e+05
"287","consulting",2011,2e+06
"288","software",2011,20000
"289","hospitality",2012,NA
"290","pets",2012,NA
"291","sports",2012,NA
"292","mobile",2011,NA
"293","social",2011,150000
"294","mobile",2010,5500000
"295","software",2011,20000
"296","mobile",2003,13200000
"297","software",2012,1e+06
"298","games_video",2008,5e+06
"299","games_video",2007,7e+06
"300","enterprise",2009,22000
"301","software",2011,435000
"302","web",2012,1100000
"303","mobile",2013,360000
"304","enterprise",2013,1.3e+07
"305","biotech",2012,4900000
"306","biotech",2012,3.8e+07
"307","biotech",2013,8500000
"308","enterprise",2009,150000
"309","mobile",2010,NA
"310","software",2013,1200000
"311","network_hosting",2013,NA
"312","nanotech",2006,7.5e+07
"313","nanotech",2008,3e+08
"314","enterprise",2012,NA
"315","network_hosting",2006,1.2e+07
"316","advertising",2011,4e+05
"317","software",2011,125000
"318","software",2005,21850000
"319","mobile",2010,7e+06
"320","games_video",2012,6e+06
"321","education",2012,17300000
"322","education",2013,4e+06
"323","education",2013,1.9e+07
"324","education",2013,3.3e+07
"325","semiconductor",2007,14700000
"326","mobile",2010,NA
"327","hardware",2012,NA
"328","advertising",2009,1e+06
"329","other",2010,20000
"330","hardware",2011,1100000
"331","real_estate",2011,14000
"332","software",2011,20000
"333","software",2011,20000
"334","enterprise",2011,6e+05
"335","ecommerce",2011,5e+05
"336","travel",2012,50000
"337","mobile",2013,120000
"338","games_video",2012,50000
"339","software",2012,14000
"340","other",2012,55000
"341","automotive",2013,5e+05
"342","enterprise",2013,60000
"343","enterprise",2013,20000
"344","ecommerce",2012,50000
"345","news",2013,20000
"346","ecommerce",2012,50000
"347","messaging",2013,525000
"348","ecommerce",2013,12000
"349","travel",2013,50000
"350","health",2012,250000
"351","mobile",2012,350000
"352","web",2013,20000
"353","software",2013,50000
"354","other",2013,20000
"355",NA,2012,150000
"356","advertising",2013,20000
"357","education",2013,16000
"358","web",2013,1e+05
"359","mobile",2012,50000
"360","health",2011,150000
"361","games_video",2013,88000
"362","other",2010,20000
"363","biotech",2009,NA
"364","hardware",2009,NA
"365","software",2009,NA
"366","social",2010,14000
"367","software",2010,20000
"368","web",2011,20000
"369","web",2007,750000
"370","search",2007,750000
"371","ecommerce",2007,3800000
"372","web",2008,9e+05
"373","web",2008,NA
"374","finance",2008,6500000
"375","web",2008,350000
"376","advertising",2008,1e+07
"377","web",2008,3e+06
"378","games_video",2008,1500000
"379","mobile",2008,1100000
"380","legal",2008,1e+06
"381","web",2008,2e+06
"382","web",2008,NA
"383","web",2008,8e+05
"384","software",2009,8e+05
"385","web",2009,5e+05
"386","hardware",2009,550000
"387","public_relations",2009,1e+06
"388","social",2009,1420000
"389","software",2009,NA
"390","web",2009,7e+06
"391","mobile",2010,1200000
"392","enterprise",2010,9e+05
"393","web",2008,1500000
"394","web",2010,1500000
"395","hardware",2010,3165000
"396","web",2010,3500000
"397","web",2010,5e+05
"398","enterprise",2010,8e+05
"399","web",2010,1100000
"400","advertising",2010,NA
"401","games_video",2010,5e+05
"402","web",2010,250000
"403","messaging",2010,850000
"404","advertising",2010,8e+06
"405","web",2010,1e+07
"406","messaging",2011,10600000
"407","games_video",2011,10100000
"408","advertising",2011,1e+06
"409","mobile",2010,2500000
"410","advertising",2010,1200000
"411","finance",2011,1e+07
"412","advertising",2011,7e+06
"413","web",2011,750000
"414","advertising",2011,5e+06
"415","web",2011,450000
"416","mobile",2011,5e+05
"417","web",2011,4100000
"418","education",2011,8e+05
"419","social",2011,730000
"420","web",2011,NA
"421","design",2011,6e+05
"422","web",2012,1500000
"423","ecommerce",2011,1100000
"424","transportation",2012,7500000
"425","mobile",2012,NA
"426","web",2011,1200000
"427","web",2012,2e+06
"428","messaging",2012,4200000
"429","web",2012,910000
"430","fashion",2010,8e+06
"431","hospitality",2012,1200000
"432","mobile",2011,2200000
"433","social",2012,2500000
"434","fashion",2012,1e+06
"435","mobile",2012,NA
"436","software",2012,4e+06
"437","web",2012,NA
"438","mobile",2013,1875000
"439","web",2012,535000
"440","web",2010,NA
"441","mobile",2011,NA
"442","photo_video",2013,4500000
"443","hardware",2013,1300000
"444","advertising",2013,1e+07
"445","web",2012,NA
"446","web",2010,775000
"447","music",2011,1800000
"448","web",2012,NA
"449","games_video",2009,5500000
"450","software",2012,5e+06
"451","medical",2012,11900000
"452","biotech",2013,1.2e+07
"453","education",2013,1e+05
"454","education",2013,5e+05
"455","biotech",2009,5.1e+07
"456","biotech",2009,3e+07
"457","biotech",2008,6e+06
"458","biotech",2005,48300000
"459","biotech",2010,2.8e+07
"460","local",2012,1e+06
"461","biotech",2013,1e+06
"462","biotech",2007,3300000
"463","biotech",2013,5303380
"464","other",2001,NA
"465","enterprise",2008,NA
"466","web",2013,2e+05
"467","social",2010,75000
"468","search",2011,130000
"469","ecommerce",2013,750000
"470","cleantech",2013,5e+05
"471","education",2012,20000
"472","fashion",2012,NA
"473","enterprise",2013,3.5e+07
"474","security",2013,NA
"475","cleantech",2013,2e+07
"476","software",2013,NA
"477","games_video",2008,5300000
"478","mobile",2009,NA
"479","health",2012,50000
"480","ecommerce",2005,2e+06
"481","mobile",2008,350000
"482","mobile",2012,1016000
"483","games_video",2009,5e+05
"484","health",2012,20000
"485","medical",2013,4e+05
"486","biotech",2011,20000
"487","advertising",2009,750000
"488","enterprise",2008,2e+05
"489","enterprise",2011,4500000
"490","games_video",2010,NA
"491","government",2010,15000
"492","enterprise",2013,NA
"493","software",2013,NA
"494","nonprofit",2011,2e+05
"495","public_relations",2006,8e+06
"496","biotech",2009,3e+07
"497","biotech",2006,1.9e+07
"498","software",2006,1.6e+07
"499","biotech",2005,2.3e+07
"500","medical",2012,3500000
"501","medical",2013,27300000
"502","biotech",2013,9787000
"503","biotech",2013,30607151
"504","games_video",2005,7260000
"505","ecommerce",2011,565000
"506","mobile",2011,1475000
"507","web",2012,1500000
"508","advertising",2012,1500000
"509","mobile",2012,NA
"510","hospitality",2013,1350000
"511","mobile",2013,2200000
"512","real_estate",2013,1600000
"513","travel",2013,1600000
"514","hardware",2013,2600000
"515","cleantech",2012,47500000
"516","medical",2011,3150000
"517","education",2013,1e+05
"518","advertising",2012,20000
"519","web",2012,70000
"520","web",2013,7e+05
"521","enterprise",2009,1200000
"522","mobile",2009,1.5e+09
"523","mobile",2008,3.2e+09
"524","search",2013,2700000
"525","biotech",2009,14400000
"526","biotech",2009,14400000
"527","biotech",2008,9e+07
"528","cleantech",2012,2.5e+07
"529","hardware",2012,4.5e+07
"530","mobile",2002,9800000
"531","advertising",2007,NA
"532","software",2007,1.2e+07
"533","semiconductor",2010,2.5e+07
"534","software",2005,1e+07
"535","public_relations",2005,1.2e+07
"536",NA,2013,5e+06
"537","hardware",2013,6e+07
"538","software",2006,2e+06
"539","ecommerce",2006,2700000
"540","ecommerce",2007,1e+07
"541","ecommerce",2008,10300000
"542","web",2012,5700000
"543","advertising",2009,1500000
"544","cleantech",2009,11600000
"545","biotech",2013,2.5e+07
"546","software",2008,2700000
"547","ecommerce",2013,1e+06
"548","semiconductor",2008,5500000
"549","software",2007,7e+06
"550","software",2011,6555160
"551","web",2013,75000
"552","health",2011,5e+05
"553","biotech",2012,1500000
"554","hardware",2008,2500000
"555","hardware",2005,2e+06
"556","medical",2013,8600000
"557","hardware",2013,4800000
"558","software",2005,6500000
"559","games_video",2013,2.6e+07
"560","biotech",2013,1500000
"561","finance",2011,2e+05
"562","education",2011,NA
"563","software",2006,14500000
"564","finance",2012,4100000
"565","software",2011,1350000
"566","mobile",2011,1750000
"567","network_hosting",2008,1e+07
"568","web",2009,10700000
"569","network_hosting",2007,3e+06
"570","network_hosting",2005,9400000
"571","biotech",2006,1.4e+07
